"","x_2014"
"1",0.9921
"2",-0.9339
"3",0.9216
"4",-0.9622
"5",0.9579
"6",-0.9366
"7",0.9339
"8",-0.973
"9",0.9644
"10",-0.9314
"11",0.9153
"12",-0.9563
"13",0.9497
