            Comp.1       Comp.2       Comp.3       Comp.4       Comp.5
  [1,]  6.03121449 -0.327655926  0.160957311  0.175156534  0.143586840
  [2,]  5.36049492 -0.033900105  0.144286411  0.648469533  0.013078814
  [3,]  5.29808802  0.452207118 -0.011367542 -0.036872707  0.103270760
  [4,]  5.23903127  0.100097751  0.164515392  0.014967908  0.276137860
  [5,]  5.23742514 -0.585263253  0.044590771  0.237512552  0.129181256
  [6,]  5.20860992 -0.359879043  0.071636622  0.217495764  0.160600900
  [7,]  5.10408195 -0.443239385 -0.073511367  0.020864176  0.022401325
  [8,]  5.08484661 -0.496793978 -0.193757551 -0.117224097 -0.236914534
  [9,]  5.06316224 -0.193713323 -0.059841848 -0.088364986  0.040921462
 [10,]  4.98229492 -0.446782762  0.029901666 -0.333881885 -0.191372192
 [11,]  4.92490101  0.272915217 -0.145444908  0.051247538  0.096218449
 [12,]  4.76067355 -0.035804469  0.211005098  0.250361646 -0.001235636
 [13,]  4.67625701 -0.341772395 -0.100654783 -0.245328600  0.167739969
 [14,]  4.60291307 -0.510431373  0.167107368 -0.062741349  0.054651526
 [15,]  4.56008501 -0.478640758 -0.221748109  0.001388684  0.174267300
 [16,]  4.41933834 -0.234348877 -0.018825911 -0.121376672  0.165461401
 [17,]  4.36000945  0.280221926  0.250221350  0.188239885  0.024566120
 [18,]  3.99920663 -0.895048677  0.044970161  0.290415661 -0.031276931
 [19,]  3.94376206 -0.082789904 -0.126605395 -0.071404044  0.087235036
 [20,]  3.88760144 -0.423611315  0.105745403 -0.007780379  0.123882077
 [21,]  3.75172445 -0.277128662  0.167437366 -0.214237402 -0.047917609
 [22,]  3.67815488  0.617233640 -0.077447665 -0.110580700 -0.043760458
 [23,]  3.51042435  0.910556679 -0.032446081 -0.279880905 -0.165541690
 [24,]  3.45088312 -0.277257214  0.057780909  0.157182943  0.088929146
 [25,]  3.37035608 -0.294157913 -0.007767158 -0.087075212  0.127469076
 [26,]  3.33866706  0.119422404  0.162966786  0.032291457  0.317562717
 [27,]  3.31417491 -0.145767803  0.377863075  0.165195326  0.132006813
 [28,]  3.04239218  0.653948300  0.044867049  0.040851932 -0.192985414
 [29,]  2.91090313  0.040470697  0.257645410 -0.060661816 -0.139262460
 [30,]  2.74740802  0.832852923  0.371734425 -0.123686015  0.164255474
 [31,]  2.49706659 -0.224149344  0.040383609 -0.133906295 -0.419357022
 [32,]  2.46227260  0.405551269  0.030144338 -0.074561329 -0.172840868
 [33,]  2.30446674  0.468830672  0.123768832  0.114136835 -0.257720531
 [34,]  2.03821399  0.093005168 -0.187468900  0.395338316 -0.281630011
 [35,]  2.02753484 -0.211312030 -0.025484129  0.462453019 -0.392166275
 [36,]  2.01323265  0.078439396 -0.167707013  0.389731796 -0.420113806
 [37,]  1.99599724 -0.947456079 -0.029143879 -0.118309910 -0.011804652
 [38,]  1.85234508  0.360831129  0.123509855 -0.267221122  0.157043183
 [39,]  1.84330384  0.088120587 -0.028444642 -0.376716601 -0.028786668
 [40,]  1.62220116 -0.410314945 -0.399913270 -0.546037279  0.528217304
 [41,]  1.60355874  0.421774431  0.240216092  0.121283164  0.269213054
 [42,]  1.52984526  0.470741332 -0.136851801  0.051244625  0.106137555
 [43,]  1.49497196  0.552359647 -0.434082550  0.313310088  0.091400208
 [44,]  1.40345247  0.227444412  0.187566347 -0.137834937 -0.207157753
 [45,]  1.28725993  0.166661405 -0.108997751  0.143739854 -0.354460727
 [46,]  1.28375531  0.544028402 -0.177477305 -0.396407437 -0.020875605
 [47,]  1.26455595  0.141768301 -0.271945112 -0.214352348  0.274547335
 [48,]  1.14169781  0.545793515 -0.284160729 -0.449807898  0.075971038
 [49,]  1.07617558 -0.151015911 -0.293069470  0.187948566 -0.015004036
 [50,]  0.97757144  0.329982263  0.462021267 -0.079768840  0.195060762
 [51,]  0.83814371  0.342510524 -0.156440994  0.034090886 -0.023308984
 [52,]  0.75952944  0.403922374  0.307989602  0.250166965 -0.292456593
 [53,]  0.72866520  0.140538251  0.439169696  0.145486913  0.345196652
 [54,]  0.68529047 -0.162561518 -0.467632559 -0.203378476 -0.306794659
 [55,]  0.65601640  0.046301197  0.105858755 -0.178219580  0.260581049
 [56,]  0.54199980  0.194015566 -0.353159029 -0.511176658  0.436026641
 [57,]  0.49218106  0.960528827  0.140834983  0.389962401  0.009031725
 [58,]  0.34245977  0.568368866  0.416727792 -0.172544102 -0.057717477
 [59,]  0.31183127  0.287136621  0.111634458 -0.083128772 -0.055306798
 [60,]  0.17113226  0.730628206  0.708749551 -0.121928974  0.088449983
 [61,]  0.09584561  0.329739019 -0.171870042 -0.376777607  0.142634083
 [62,]  0.07175500 -0.279503887  0.127728897 -0.106784214 -0.206888962
 [63,] -0.02052765 -0.363123898 -0.448051508  0.370625961  0.301132791
 [64,] -0.05886518 -0.024382828 -0.306691880  0.094324152  0.120987899
 [65,] -0.11200377  0.406529893 -0.136627031  0.094253899 -0.130399954
 [66,] -0.16066097  0.318016107 -0.217448173 -0.631890299 -0.452512666
 [67,] -0.18448068 -0.001193550 -0.072710371  0.176519389  0.255528382
 [68,] -0.22948651 -0.320439876  0.027755304 -0.361752430 -0.168617106
 [69,] -0.23468394 -0.330197393  0.211036423  0.189143708  0.284352512
 [70,] -0.25200188 -0.385739715  0.441010974  0.378335731  0.248169575
 [71,] -0.25206005  0.074399852 -0.585545888  0.068146549 -0.370379855
 [72,] -0.25824982  0.160163565  0.046834357 -0.124899538 -0.251398829
 [73,] -0.33456758  0.010642607  0.093964472 -0.183244550 -0.237733743
 [74,] -0.37685447  0.032499463 -0.551226906  0.216553993 -0.147914482
 [75,] -0.49159088 -0.014137777 -0.458552122  0.037325316  0.342381638
 [76,] -0.52320069  0.157402813 -0.475859507  0.019174070 -0.318378818
 [77,] -0.54242161  0.044759379 -0.427809692  0.208759487  0.016014442
 [78,] -0.59967551 -1.290440018 -0.066696830 -0.323225981  0.210865666
 [79,] -0.67237301  0.271631441 -0.123502574 -0.111197765  0.023785504
 [80,] -0.71886167 -0.326592191 -0.205209322 -0.037088726 -0.150311267
 [81,] -0.72636802  0.300224698  0.122269223  0.071967677  0.099786491
 [82,] -0.74716048 -0.129084760  0.495620033 -0.138552965 -0.166681032
 [83,] -0.77895476  0.515598671 -0.542283326  0.214142373 -0.496395429
 [84,] -0.80277763 -0.415755558 -0.343440671 -0.097058688  0.107490463
 [85,] -0.81580793  0.030605572  0.327554892 -0.075624440 -0.014811661
 [86,] -0.90438359  0.127189325 -0.556185793  0.153958617  0.011467108
 [87,] -0.92111707  0.201440916  0.251689447 -0.390764782 -0.274852711
 [88,] -0.93088050  0.496653327 -0.183915820 -0.102570977 -0.169930733
 [89,] -0.95976190 -0.553699779  0.016762519 -0.048785982 -0.347824669
 [90,] -1.04368694 -0.306150738 -0.351644352 -0.236741808  0.097252165
 [91,] -1.10309575  0.585613120  0.011431837  0.413475152 -0.005713816
 [92,] -1.16566469 -0.067429742  0.152525145  0.347142260 -0.033820156
 [93,] -1.18232332  0.119830553  0.244868473 -0.213548865  0.373100865
 [94,] -1.20937292 -0.392463514  0.339255434 -0.016179274 -0.144451512
 [95,] -1.22012005  0.244597941  0.754322486  0.422430097  0.337778206
 [96,] -1.24397289  0.231836696  0.399611041 -0.785618150 -0.059207178
 [97,] -1.26483399 -0.039270652  0.028906529 -0.174885153 -0.159637792
 [98,] -1.29660929  0.537816436 -0.204333950  0.081876177 -0.353278293
 [99,] -1.30271369 -0.106704681 -0.365329545 -0.438293202  0.422320108
[100,] -1.30576372 -0.026454481  0.080138214 -0.320279594  0.007243085
[101,] -1.31054608  0.393930889 -0.202516518  0.051491514 -0.035191785
[102,] -1.31107059  0.221342584  0.211097069  0.448431855 -0.330044055
[103,] -1.31455579 -0.362031611 -0.547242378 -0.097421994  0.150905158
[104,] -1.32987974 -0.751243790 -0.420464061  0.373668476 -0.312538447
[105,] -1.33752068  0.015755650 -0.383715234 -0.470848539 -0.614374738
[106,] -1.35648572 -0.166980736  0.099077935  0.101351986  0.042594177
[107,] -1.39373636 -0.374819949  0.361466462 -0.202599356 -0.617939626
[108,] -1.44343995 -0.859832495 -0.102469233  0.165528454 -0.420674813
[109,] -1.47247263  0.019727930  0.044464283  0.074429281  0.155952855
[110,] -1.50668008  0.186839409 -0.352215261 -0.460604227  0.421263130
[111,] -1.53274482  1.153209029 -0.176986346  0.728483768  0.253408699
[112,] -1.53681297 -0.373002581  0.283517781  0.422661698 -0.297331935
[113,] -1.56728224 -0.094532412  0.177059192  0.142830898  0.048743657
[114,] -1.59275720 -0.171506764 -0.379878762 -0.313063922 -0.171268174
[115,] -1.71541384  0.753154372  0.047140165  0.212242891 -0.296127439
[116,] -1.85065472  0.622418536 -0.476301100  0.303403327 -0.302959849
[117,] -1.88603985 -0.169955475  0.051359464 -0.271724986  0.295066215
[118,] -1.88879511  0.067597290 -0.050347612  0.098758305 -0.154602677
[119,] -1.90973363 -0.226214297 -0.303664263  0.433205945 -0.037196889
[120,] -1.97495794 -0.282820120  0.226228393 -0.051192065 -0.088244912
[121,] -1.97859499  0.195957841  0.392404407 -0.156407789  0.206196319
[122,] -2.01641962  0.349432171  0.253426960  0.135847097  0.362260393
[123,] -2.02436765 -0.203338548  0.195324118 -0.010711346  0.528816280
[124,] -2.03247197 -0.018362455  0.471125405  0.541254862  0.101945368
[125,] -2.03710066 -0.015803619 -0.596406715 -0.113230919 -0.094911098
[126,] -2.05883356 -0.414588691  0.104767353 -0.088652023 -0.107206449
[127,] -2.09773440  0.553511177  0.432398423 -0.616981685 -0.462022183
[128,] -2.15091751 -0.539344276  0.033178818 -0.256352621 -0.141533127
[129,] -2.16132752  0.389262716  0.068394001 -0.765734976 -0.410779718
[130,] -2.22378443  0.296994293 -0.532688333  0.386573468 -0.153091734
[131,] -2.29105370  0.177551444  0.027429447  0.505901014 -0.082339635
[132,] -2.29134390 -0.687667401  0.150144501  0.179866711 -0.391751431
[133,] -2.32107494 -0.708371662  0.192081282  0.315686508  0.189686124
[134,] -2.37602705  0.110312719 -0.469726550 -0.246423634  0.251864763
[135,] -2.41434590 -0.433728507 -0.008326019 -0.113911391  0.054967708
[136,] -2.47498139  1.138293446  0.121989190  0.157343657  0.018281557
[137,] -2.56487959 -0.161427458 -0.453992593  0.059521594 -0.097370565
[138,] -2.57478247 -0.008796833  0.280896575 -0.183857400  0.832992184
