"","x_2012"
"1",0.9901
"2",-0.9485
"3",0.9352
"4",-0.9614
"5",0.9518
"6",-0.9434
"7",0.9329
"8",-0.9722
"9",0.9657
"10",-0.9405
"11",0.9281
"12",-0.9674
"13",0.9565
