"","x_2010"
"1",0.9861
"2",-0.9481
"3",0.9313
"4",-0.9596
"5",0.9481
"6",-0.857
"7",0.8505
"8",-0.9642
"9",0.9542
"10",-0.9069
"11",0.8994
"12",-0.9442
"13",0.9208
