"","x_2007"
"1",0.9854
"2",-0.9504
"3",0.9398
"4",-0.9564
"5",0.9412
"6",-0.9578
"7",0.9424
"8",-0.9696
"9",0.9555
"10",-0.9288
"11",0.9158
"12",-0.9613
"13",0.9444
